systemtap-3.2-0.20170512gitc67d8f274b21.fc27.i686         
├─systemtap-devel = 3.2-0.20170512gitc67d8f274b21.fc27    systemtap-devel-3.2-0.20170512gitc67d8f274b21.fc27.i686
├─libuuid = 2.30.1-1.fc27                                 libuuid-2.30.1-1.fc27.i686
├─libblkid = 2.30.1-1.fc27                                libblkid-2.30.1-1.fc27.i686
├─libmount = 2.30.1-1.fc27                                libmount-2.30.1-1.fc27.i686
├─libfdisk = 2.30.1-1.fc27                                libfdisk-2.30.1-1.fc27.i686
├─libsmartcols = 2.30.1-1.fc27                            libsmartcols-2.30.1-1.fc27.i686
├─audit-libs >= 1.0.6                                     audit-libs-2.7.7-5.fc27.i686
└─pam >= 1.1.3-7                                          pam-1.3.0-5.fc27.i686
systemd-libs-234-3.fc27.i686                              
├─libgcc_s.so.1                                           libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.0)                                  libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.3.1)                                libgcc-7.1.1-7.fc27.1.i686
├─libgcrypt.so.20                                         libgcrypt-1.7.8-3.fc27.i686
├─libgcrypt.so.20(GCRYPT_1.6)                             libgcrypt-1.7.8-3.fc27.i686
├─liblz4.so.1                                             lz4-libs-1.7.5-6.fc27.i686
libblkid-2.30.1-1.fc27.i686                               
├─libuuid.so.1                                            libuuid-2.30.1-1.fc27.i686
├─libuuid.so.1(UUID_1.0)                                  libuuid-2.30.1-1.fc27.i686
└─libuuid = 2.30.1-1.fc27                                 libuuid-2.30.1-1.fc27.i686
libfdisk-2.30.1-1.fc27.i686                               
├─libuuid.so.1                                            libuuid-2.30.1-1.fc27.i686
├─libblkid.so.1                                           libblkid-2.30.1-1.fc27.i686
├─libuuid.so.1(UUID_1.0)                                  libuuid-2.30.1-1.fc27.i686
├─libblkid.so.1(BLKID_2.15)                               libblkid-2.30.1-1.fc27.i686
├─libblkid.so.1(BLKID_2.17)                               libblkid-2.30.1-1.fc27.i686
└─libblkid.so.1(BLKID_2.21)                               libblkid-2.30.1-1.fc27.i686
libmount-2.30.1-1.fc27.i686                               
├─libuuid.so.1                                            libuuid-2.30.1-1.fc27.i686
├─libblkid.so.1                                           libblkid-2.30.1-1.fc27.i686
├─libblkid.so.1(BLKID_2.15)                               libblkid-2.30.1-1.fc27.i686
├─libblkid.so.1(BLKID_2.17)                               libblkid-2.30.1-1.fc27.i686
├─libblkid.so.1(BLKID_1.0)                                libblkid-2.30.1-1.fc27.i686
├─libuuid = 2.30.1-1.fc27                                 libuuid-2.30.1-1.fc27.i686
└─libblkid = 2.30.1-1.fc27                                libblkid-2.30.1-1.fc27.i686
libsmartcols-2.30.1-1.fc27.i686                           
libuuid-2.30.1-1.fc27.i686                                
dbus-libs-1:1.11.16-4.fc27.i686                           
├─libsystemd.so.0                                         systemd-libs-234-3.fc27.i686
└─libsystemd.so.0(LIBSYSTEMD_209)                         systemd-libs-234-3.fc27.i686
libcap-ng-0.7.8-5.fc27.i686                               
libutempter-1.1.6-11.fc27.i686                            
pam-1.3.0-5.fc27.i686                                     
├─libaudit.so.1                                           audit-libs-2.7.7-5.fc27.i686
├─libcrack.so.2                                           cracklib-2.9.6-7.fc27.i686
├─audit-libs >= 1.0.8                                     audit-libs-2.7.7-5.fc27.i686
├─libpwquality >= 0.9.9                                   libpwquality-1.4.0-3.fc27.i686
libsemanage-2.7-1.fc27.i686                               
├─libaudit.so.1                                           audit-libs-2.7.7-5.fc27.i686
├─audit-libs                                              audit-libs-2.7.7-5.fc27.i686
libdb-utils-5.3.28-26.fc27.i686                           
lua-libs-5.3.4-5.fc27.i686                                
libarchive-3.3.1-3.fc27.i686                              
├─libxml2.so.2                                            libxml2-2.9.4-4.fc27.i686
├─libxml2.so.2(LIBXML2_2.4.30)                            libxml2-2.9.4-4.fc27.i686
├─libxml2.so.2(LIBXML2_2.6.0)                             libxml2-2.9.4-4.fc27.i686
├─liblz4.so.1                                             lz4-libs-1.7.5-6.fc27.i686
├─libxml2.so.2(LIBXML2_2.5.0)                             libxml2-2.9.4-4.fc27.i686
├─libxml2.so.2(LIBXML2_2.5.2)                             libxml2-2.9.4-4.fc27.i686
├─libxml2.so.2(LIBXML2_2.6.5)                             libxml2-2.9.4-4.fc27.i686
cracklib-2.9.6-7.fc27.i686                                
└─gzip                                                    gzip-1.8-4.fc27.i686
libpwquality-1.4.0-3.fc27.i686                            
├─libpam.so.0                                             pam-1.3.0-5.fc27.i686
├─libcrack.so.2                                           cracklib-2.9.6-7.fc27.i686
├─libpam.so.0(LIBPAM_1.0)                                 pam-1.3.0-5.fc27.i686
├─pam(x86-32)                                             pam-1.3.0-5.fc27.i686
├─libpam.so.0(LIBPAM_EXTENSION_1.0)                       pam-1.3.0-5.fc27.i686
└─libpam.so.0(LIBPAM_EXTENSION_1.1.1)                     pam-1.3.0-5.fc27.i686
cyrus-sasl-lib-2.1.26-34.fc27.i686                        
├─libcom_err.so.2                                         libcom_err-1.43.4-4.fc27.i686
├─libkrb5.so.3                                            krb5-libs-1.15.1-21.fc27.i686
├─libgssapi_krb5.so.2                                     krb5-libs-1.15.1-21.fc27.i686
├─libk5crypto.so.3                                        krb5-libs-1.15.1-21.fc27.i686
├─libkrb5support.so.0                                     krb5-libs-1.15.1-21.fc27.i686
nss-pem-1.0.3-5.fc27.i686                                 
├─libnspr4.so                                             nspr-4.16.0-1.fc27.i686
├─libplc4.so                                              nspr-4.16.0-1.fc27.i686
├─libplds4.so                                             nspr-4.16.0-1.fc27.i686
├─libnssutil3.so                                          nss-util-3.32.0-2.fc27.i686
├─libnss3.so                                              nss-3.32.0-2.fc27.i686
├─libnssutil3.so(NSSUTIL_3.12)                            nss-util-3.32.0-2.fc27.i686
├─libsmime3.so                                            nss-3.32.0-2.fc27.i686
├─libssl3.so                                              nss-3.32.0-2.fc27.i686
└─nss(x86-32) >= 3.31.0                                   nss-3.32.0-2.fc27.i686
├─libgcc_s.so.1                                           libgcc-7.1.1-7.fc27.1.i686
libxml2-2.9.4-4.fc27.i686                                 
lz4-libs-1.7.5-6.fc27.i686                                
gawk-4.1.4-5.fc27.i686                                    
├─libmpfr.so.4                                            mpfr-3.1.5-5.fc27.i686
├─libsigsegv                                              libsigsegv-2.11-3.fc27.i686
├─mpfr                                                    mpfr-3.1.5-5.fc27.i686
├─libsigsegv.so.2                                         libsigsegv-2.11-3.fc27.i686
keyutils-libs-1.5.10-3.fc27.i686                          
libverto-0.2.6-11.fc27.i686                               
binutils-2.29-6.fc27.i686                                 
isl-0.16.1-3.fc27.i686                                    
libasan-7.1.1-7.fc27.1.i686                               
├─libgcc_s.so.1                                           libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.0)                                  libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GLIBC_2.0)                                libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.3)                                  libgcc-7.1.1-7.fc27.1.i686
libatomic-7.1.1-7.fc27.1.i686                             
libcilkrts-7.1.1-7.fc27.1.i686                            
├─libgcc_s.so.1                                           libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.0)                                  libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GLIBC_2.0)                                libgcc-7.1.1-7.fc27.1.i686
libmpc-1.0.2-8.fc27.i686                                  
└─libmpfr.so.4                                            mpfr-3.1.5-5.fc27.i686
libmpx-7.1.1-7.fc27.1.i686                                
libubsan-7.1.1-7.fc27.1.i686                              
├─libgcc_s.so.1                                           libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.0)                                  libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GLIBC_2.0)                                libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.3)                                  libgcc-7.1.1-7.fc27.1.i686
mpfr-3.1.5-5.fc27.i686                                    
libsigsegv-2.11-3.fc27.i686                               
elfutils-default-yama-scope-0.170-1.fc27.noarch           
gzip-1.8-4.fc27.i686                                      
libgcrypt-1.7.8-3.fc27.i686                               
├─libgpg-error.so.0                                       libgpg-error-1.27-3.fc27.i686
└─libgpg-error.so.0(GPG_ERROR_1.0)                        libgpg-error-1.27-3.fc27.i686
libgpg-error-1.27-3.fc27.i686                             
kernel-devel-4.13.0-0.rc1.git1.1.fc27.i686                
findutils-1:4.6.0-14.fc27.i686                            
curl-minimal-7.55.0-1.fc27.i686                           
├─libcurl.so.4                                            libcurl-minimal-7.55.0-1.fc27.i686
└─libcurl(x86-32) >= 7.55.0-1.fc27                        libcurl-minimal-7.55.0-1.fc27.i686
libcurl-minimal-7.55.0-1.fc27.i686                        
├─libcom_err.so.2                                         libcom_err-1.43.4-4.fc27.i686
├─libkrb5.so.3                                            krb5-libs-1.15.1-21.fc27.i686
├─libgssapi_krb5.so.2                                     krb5-libs-1.15.1-21.fc27.i686
├─libk5crypto.so.3                                        krb5-libs-1.15.1-21.fc27.i686
├─libgssapi_krb5.so.2(gssapi_krb5_2_MIT)                  krb5-libs-1.15.1-21.fc27.i686
├─libnghttp2.so.14                                        libnghttp2-1.24.0-4.fc27.i686
libnghttp2-1.24.0-4.fc27.i686                             
